date,close,high,low,open,volume,amount
24/12/15,12932.372,13003.784,12770.359,12977.248,11823065969.00,202058407918.00
23/12/15,13007.868,13187.052,12974.628,13142.526,16251769163.00,277139834167.00
22/12/15,13139.125,13139.125,12980.377,13064.686,15376876888.00,250882848932.00
21/12/15,13028.31,13047.125,12816.715,12824.433,16207975735.00,272524071654.00
18/12/15,12830.247,12904.078,12763.431,12825.023,15087351616.00,269299814697.00
17/12/15,12825.48,12825.48,12602.667,12602.667,16985992081.00,292090330202.00
16/12/15,12511.028,12595.124,12471.094,12533.112,11434240884.00,211081934360.00
15/12/15,12495.249,12553.788,12412.465,12412.465,11490460421.00,210091055918.00
14/12/15,12400.594,12400.594,12004.486,12023.814,11176339336.00,190303423931.00
11/12/15,12134.02,12228.29,12051.444,12120.595,9761122558.00,175159128532.00
10/12/15,12181.03,12318.044,12158.653,12180.774,11066786378.00,209161059086.00
9/12/15,12179.831,12257.581,12091.764,12112.197,10852716512.00,197938719226.00
8/12/15,12164.966,12371.109,12151.153,12371.109,11766601876.00,207976785830.00
7/12/15,12443.047,12467.852,12262.13,12351.405,11375440538.00,208517766554.00
4/12/15,12329.176,12474.457,12268.494,12384.496,12892731062.00,228802036568.00
3/12/15,12447.381,12447.381,12205.439,12205.439,13058913006.00,222439647634.00
2/12/15,12186.271,12188.011,11830.989,12068.977,14030739858.00,227864696019.00
1/12/15,12081.17,12206.165,11938.627,12022.835,12806756190.00,222659104386.00
30/11/15,12037.857,12121.219,11455.495,11991.701,15745812538.00,271174296055.00
27/11/15,11961.703,12733.452,11880.321,12697.507,18689965003.00,318827901738.00
26/11/15,12767.502,12970.47,12747.892,12951.998,17142048146.00,313228041338.00
25/11/15,12893.228,12904.787,12666.188,12696.132,15373971177.00,294275917817.00
24/11/15,12694.856,12694.856,12438.921,12580.717,13325454011.00,239602753575.00
23/11/15,12586.691,12806.316,12539.98,12699.146,16743816781.00,297688720807.00
20/11/15,12702.034,12766.261,12565.801,12650.248,18656795968.00,321891740081.00
19/11/15,12609.844,12609.844,12309.785,12326.161,14926820024.00,259054602833.00
18/11/15,12283.758,12580.913,12257.042,12516.14,15752279129.00,278116885469.00
17/11/15,12511.545,12827.201,12478.973,12744.793,20803719944.00,386119746536.00
16/11/15,12620.38,12620.38,12171.662,12180.986,14015520043.00,258105818165.00
13/11/15,12402.036,12574.962,12272.381,12492.942,17777305930.00,316037685510.00
12/11/15,12635.393,12758.673,12483.34,12735.502,20131624996.00,360816432660.00
11/11/15,12677.537,12687.196,12445.288,12509.525,19756941211.00,327970243540.00
10/11/15,12500.528,12597.163,12349.033,12390.527,20924861723.00,351802717897.00
9/11/15,12453.241,12538.352,12145.064,12227.405,22435058403.00,382297544481.00
6/11/15,12273.351,12292.424,11952.512,11952.512,20046271668.00,330038226619.00
5/11/15,11939.81,12091.53,11853.464,11908.688,23685082477.00,372141336569.00
4/11/15,11884.9,11884.9,11351.249,11351.249,17193645669.00,284816119236.00
3/11/15,11288.144,11416.838,11200.597,11341.303,10526160295.00,176838124939.00
2/11/15,11304.882,11637.988,11266.038,11306.204,13365970462.00,219450004645.00
30/10/15,11546.051,11711.037,11369.395,11542.014,14201425679.00,236927806991.00
29/10/15,11566.662,11694.781,11406.102,11565.713,13828731896.00,221197190710.00
28/10/15,11494.347,11834.073,11446.43,11689.287,17271676630.00,272939309204.00
27/10/15,11758.413,11820.723,11229.102,11588.942,18698140048.00,289583811146.00
26/10/15,11687.772,11789.02,11534.826,11765.652,19230298742.00,321659134901.00
23/10/15,11603.456,11653.087,11345.527,11397.199,19169302360.00,305641767599.00
22/10/15,11305.103,11320.011,10910.879,10921.178,15982591907.00,252240934750.00
21/10/15,10915.986,11641.893,10872.567,11592.199,21033867104.00,319812054651.00
20/10/15,11597.08,11597.156,11335.783,11372.178,16290520428.00,257737236783.00
19/10/15,11391.013,11498.24,11245.014,11426.518,17822770348.00,272186050531.00
16/10/15,11374.834,11384.24,11172.042,11301.935,18028363914.00,262517434059.00
15/10/15,11229.38,11229.38,10862.112,10862.112,15267837334.00,226234267179.00
14/10/15,10901.479,11095.338,10880.108,10997.082,14207687918.00,207861287216.00
13/10/15,11042.13,11072.996,10850.723,10885.105,14021320131.00,203344772745.00
12/10/15,10961.363,11069.681,10593.538,10599.884,17241547077.00,244946121018.00
9/10/15,10540.194,10589.519,10363.984,10386.806,11798718266.00,165049004008.00
8/10/15,10394.734,10477.209,10265,10332.235,11595488229.00,168507568002.00
30/9/15,9988.25,10048.859,9890.706,10004.795,7186872198.00,106350043606.00
29/9/15,9949.918,10070.254,9873.781,9962.581,8559994246.00,122711852833.00
28/9/15,10115.547,10124.313,9796.929,9919.562,7695937265.00,114580172564.00
25/9/15,9904.764,10249.242,9835.842,10184.88,11118568679.00,155090994178.00
24/9/15,10238.038,10288.184,10124.128,10178.098,10659202052.00,152979197057.00
23/9/15,10132.295,10250.453,10040.948,10071.333,11669597661.00,155755381189.00
22/9/15,10238.686,10357.417,10121.741,10200.547,13421347669.00,185757107249.00
21/9/15,10176.727,10176.727,9701.325,9732.122,11807314160.00,162210073478.00
18/9/15,9850.772,9914.585,9691.064,9806.716,9573024892.00,130490659695.00
17/9/15,9739.89,10147.175,9739.89,9872.041,14234900486.00,188187180968.00
16/9/15,9890.429,9933.83,9297.198,9330.755,12125076652.00,145713069023.00
15/9/15,9290.807,9719.662,9259.648,9533.45,10495789418.00,122822854053.00
14/9/15,9778.234,10544.281,9739.421,10517.684,12542482255.00,159383846103.00
11/9/15,10463.692,10555.62,10332.411,10408.407,9452023234.00,133095507589.00
10/9/15,10424.654,10618.869,10406.021,10449.926,11409284103.00,158749204361.00
9/9/15,10620.133,10702.183,10335.022,10367.348,16809304015.00,233684252986.00
8/9/15,10320.226,10341.304,9763.949,9898.635,10677755100.00,137796230214.00
7/9/15,9991.764,10404.223,9933.541,10121.829,12797444115.00,170467288718.00
2/9/15,10054.801,10319.485,9682.708,9694.477,15482730324.00,195786895408.00
1/9/15,10162.516,10388.498,9954.577,10388.498,15006637502.00,183762983729.00
31/8/15,10549.163,10706.227,10398.33,10706.227,15046174164.00,202136494025.00
28/8/15,10799.996,10826.191,10311.368,10397.966,17803540091.00,230273142659.00
27/8/15,10254.349,10254.349,9713.986,10076.092,15104144417.00,197184588041.00
26/8/15,9899.719,10559.241,9776.21,10199.896,17861007580.00,232028035230.00
25/8/15,10197.937,10529.923,10168.416,10212.472,13481638299.00,172011651414.00
24/8/15,10970.29,11446.099,10964.092,11399.663,11638609092.00,160549561132.00
21/8/15,11902.046,12511.415,11891.839,12355.274,14444057646.00,225369955927.00
20/8/15,12584.577,13040.362,12582.244,12864.835,14930704514.00,246443381882.00
19/8/15,12960.659,13028.504,12049.916,12328.596,17281511769.00,281767279693.00
18/8/15,12683.855,13652.542,12634.948,13608.516,20802650713.00,350391883163.00
17/8/15,13573.902,13585.961,13309.538,13417.326,17515518158.00,289971045918.00
14/8/15,13445.874,13606.327,13378.591,13497.164,16823444915.00,286966350005.00
13/8/15,13395.176,13395.176,12962,13069.983,14583358947.00,246537055346.00
12/8/15,13117.101,13396.335,13117.101,13201.538,14272457384.00,248618700472.00
